"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"383","Provinciewet: Aanwijzing provinciaal monument (voornemen, aanwijzing, afschrift)","2020-01-01","2023-07-01","Aantekening PB"
"384","Provinciewet: Aanwijzing provinciaal monument (voornemen, aanwijzing, afschrift) (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"385","Aanwijzing van gronden, Wet voorkeursrecht gemeenten","2020-01-01",,"Aantekening PB"
"386","Aanwijzing van gronden, Wet voorkeursrecht gemeenten (in onderzoek)","2020-01-01",,"Aantekening PB"
"387","Voorstel tot dan wel voorlopige aanwijzing van gronden, Wet voorkeursrecht gemeenten","2020-01-01",,"Aantekening PB"
"388","Voorstel tot dan wel voorlopige aanwijzing van gronden, Wet voorkeursrecht gemeenten (in onderzoek)","2020-01-01",,"Aantekening PB"
"389","Aanschrijving, Woningwet","2020-01-01",,"Aantekening PB"
"390","Aanschrijving, Woningwet (in onderzoek)","2020-01-01",,"Aantekening PB"
"391","Wet bodembescherming: Beschikking geval ernstige verontreiniging en noodzaak spoedige sanering","2020-01-01","2023-07-01","Aantekening PB"
"392","Wet bodembescherming: Beschikking geval ernstige verontreiniging en noodzaak spoedige sanering (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"393","Wet bodembescherming: Bevel ongewoon voorval","2020-01-01","2023-07-01","Aantekening PB"
"394","Wet bodembescherming: Bevel ongewoon voorval (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"395","Wet bodembescherming: Instemming verslag uniforme sanering","2020-01-01","2023-07-01","Aantekening PB"
"396","Wet bodembescherming: Instemming verslag uniforme sanering (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"397","Wet bodembescherming: Instemming verslag ","2020-01-01","2023-07-01","Aantekening PB"
"398","Wet bodembescherming: Instemming verslag  (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"399","Wet bodembescherming: Instemming nazorgplan","2020-01-01","2023-07-01","Aantekening PB"
"400","Wet bodembescherming: Instemming nazorgplan (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"401","Wet bodembescherming: Bevel tijdelijke beveiligingsmaatregelen, onderzoek, beheren of saneren","2020-01-01","2023-07-01","Aantekening PB"
"402","Wet bodembescherming: Bevel tijdelijke beveiligingsmaatregelen, onderzoek, beheren of saneren (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"403","Wet bodembescherming: Maatregel bevel","2020-01-01","2023-07-01","Aantekening PB"
