"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"259";"Bestuursdwangbesluit of dwangsombesluit, Woningwet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"260";"Bestuursdwangbesluit of dwangsombesluit, Woningwet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"261";"Bevel of gedoogplicht, Waterwet";"2010-11-01";;"Aantekening PB"
"262";"Bevel of gedoogplicht, Waterwet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"263";"Bevel of gedoogplicht, Waterwet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"264";"Bestuursdwangbesluit of dwangsombesluit, Wet algemene bepalingen omgevingsrecht";"2010-11-01";;"Aantekening PB"
"265";"Bestuursdwangbesluit of dwangsombesluit, Wet algemene bepalingen omgevingsrecht (Zie tekening)";"2010-11-01";;"Aantekening PB"
"266";"Bestuursdwangbesluit of dwangsombesluit, Wet algemene bepalingen omgevingsrecht (in onderzoek)";"2010-11-01";;"Aantekening PB"
"267";"Beschermd monument, Gemeentewet";"2010-11-01";;"Aantekening PB"
"268";"Beschermd monument, Gemeentewet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"269";"Beschermd monument, Gemeentewet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"270";"Administratieve voorlopige (kadastrale) grens";"2012-07-01";;"Aantekening Object"
"271";"Voorlopige kadastrale grens en oppervlakte";"2012-07-01";;"Aantekening Object"
"272";"Besluit op grond van de Wet Milieubeheer";"2012-07-01";;"Aantekening Object"
"273";"Ruilakte passeert binnen 3 wkn, neem contact op met het Klantcontactcenter";"2014-02-01";;"Aantekening Object"
"274";"Aanwijzing van luchtvaartterrein ex. art.18 Luchtvaartwet";"2000-01-01";"2010-01-01";"Aantekening Object"
"275";"Aanschrijving of bouwverbod krachtens provinciale wegenverordening";"2000-01-01";"2010-01-01";"Aantekening Object"
"276";"Beklemhuur";"2000-01-01";;"Aantekening Object"
